Gauge	PSMSL_ID	Short_Name	Lat	Lon	Long_Name	Region	Basin	Record_Start	Record_End	N_Obs	QA_YR1	QA_YR2	QA_Yrs	QA_frac	QA_Pass	Adj
GESLA_0907	1247	Port	47.644	-3.446	Port-Tudy	France	Atlantic	1966	2014	14333	1966	2014	49	0.82	TRUE	-0.003793617
GESLA_0866	1347	Rosc	48.718	-3.966	Roscoff	France	Atlantic	1973	2014	14266	1973	2014	42	0.94	TRUE	0.024629162
GESLA_1017	1078	Sain	47.14	-2.246	Saint-Gildas	France	Atlantic	1962	2014	15812	1962	2014	53	0.83	TRUE	-0.072170004
GESLA_0618	469	Sain	43.395	-1.682	Saint-Jean-de-Luz	France	Atlantic	1942	2014	14950	1964	2008	45	0.8	TRUE	-0.030427043
015B	1397	Pape	-17.52	-149.57	Papeete-B	French Polynesia	Pacific	1975	2018	16071	1975	2018	44	0.96	TRUE	0.010877785
016A	1253	Riki	-23.12	-134.95	Rikitea	French Polynesia	Pacific	1969	2018	18262	1969	2018	50	0.91	TRUE	-0.001115175
825A	7	Cuxh	53.87	8.72	Cuxhaven	Germany	Atlantic	1917	2018	37255	1917	2018	102	0.99	TRUE	-0.589140954
GESLA_1046	638	Reyk	64.151	-21.94	Reykjavik	Iceland	Atlantic	1970	2014	15443	1970	2014	45	0.96	TRUE	-0.013073927
834A	916	Mali	55.37	-7.33	Malin Head	Ireland	Atlantic	1958	2001	16071	1958	2001	44	0.94	TRUE	-0.059160834
GESLA_0109	154	Trie	45.65	13.75	Trieste	Italy	Atlantic	1971	2012	15341	1971	2012	42	1	TRUE	0.04959528
GESLA_0061	87	Vene	45.419	12.426	Venezia	Italy	Atlantic	1983	2014	11688	1983	2014	32	1	TRUE	0.031308128
347A	1104	Abas	44.02	144.28	Abashiri	Japan	Pacific	1968	2018	18628	1968	2018	51	0.98	TRUE	0.034663744
354A	814	Abur	31.58	131.42	Aburatsu	Japan	Pacific	1961	2018	21184	1961	2018	58	1	TRUE	0.009990977
047A	1391	Chic	27.1	142.18	Chichijima	Japan	Pacific	1975	2018	16071	1975	2018	44	0.99	TRUE	0.014993559
GESLA_0830	1264	Fuka	40.65	139.933	Fukaura	Japan	Pacific	1971	2013	15047	1971	2013	43	0.98	TRUE	0.010187812
GESLA_0091	1101	Fuku	32.7	128.85	Fukue	Japan	Pacific	1964	2013	17075	1964	2013	50	0.95	TRUE	-0.030625445
375A	460	Hach	40.53	141.53	Hachinohe	Japan	Pacific	1980	2011	11688	1980	2011	32	0.97	TRUE	-0.004788206
364A	813	Hako	41.78	140.72	Hakodate	Japan	Pacific	1964	2018	20089	1964	2018	55	0.94	TRUE	0.00514513
348A	94	Hama	34.9	132.07	Hamada	Japan	Pacific	1984	2018	12784	1984	2018	35	0.99	TRUE	0.039012414
358A	133	Hoso	32.42	131.68	Hosojima	Japan	Pacific	1933	1975	15705	1933	1975	43	0.86	TRUE	0.016522173
365A	1411	Ishi	24.33	124.15	Ishigaki	Japan	Pacific	1969	2018	18262	1969	2018	50	0.99	TRUE	-0.069025898
GESLA_0187	868	Kago	31.583	130.567	Kagoshima	Japan	Pacific	1964	2013	16827	1964	2013	50	0.94	TRUE	0.03833471
GESLA_0265	846	Kobe	34.683	135.183	Kobe	Japan	Pacific	1964	2013	17528	1964	2013	50	0.98	TRUE	-0.273765617
GESLA_0214	1184	Koch	33.5	133.567	Kochi	Japan	Pacific	1967	2013	14762	1967	2013	47	0.88	TRUE	0.014865773
GESLA_0334	809	Koma	34.017	134.583	Komatsushima	Japan	Pacific	1963	2013	17344	1963	2013	51	0.95	TRUE	-0.141509872
GESLA_0229	1386	Kuch	32.6	130.2	Kuchinotsu	Japan	Pacific	1967	2013	16305	1967	2013	47	0.97	TRUE	0.052393032
353A	134	Kush	33.48	135.77	Kushimoto	Japan	Pacific	1961	2018	21184	1961	2018	58	0.98	TRUE	-0.003364776
