"Gauge_ID"	"PSMSL_ID"	"Station_Name"	"Country"	"Basin"	"Station_Lat"	"Station_Lon"	"Distrib_Fit_Start"	"Distrib_Fit_End"	"MHHW_Exceedances_per_Year"	"GPD_Lambda"	"GPD_Threshold"	"GPD_Shape50"	"GPD_Shape5"	"GPD_Shape95"	"GPD_Scale50"	"GPD_Scale5"	"GPD_Scale95"	"GPD_Vshape"	"GPD_Vscale"	"GPD_Vscaleshape"	"Phi"	"Norm_Max_Mu"	"Norm_Max_Sigma"
"gesla_0652"	1255	"Steveston, BC"	"Canada"	"pacific"	49.125	-123.181	1969	2001	172.513395514983	1.92084242905338	0.620187330806714	-0.418109240931443	-0.675466271669361	-0.160752210193526	0.203123745564216	0.131010968447598	0.275236522680835	0.017241533584439	0.00135371817483947	-0.00443550957100601	0.00525897995634054	-0.0133102877684005	0.248205845296795
"542a"	165	"Tofino, BC"	"Canada"	"pacific"	49.15	-125.9	1909	2018	175.839216226454	1.8489531319949	0.746145091225022	-0.220851347794907	-0.35461288730445	-0.087089808285364	0.172852132409133	0.137115350846294	0.208588913971972	0.00465764447495236	0.000332456396406019	-0.00100748775280408	0.00506215778780261	0.000583122837680653	0.304998546622521
"gesla_0453"	175	"Vancouver, BC"	"Canada"	"pacific"	49.287	-123.11	1909	2015	175.03209760601	1.90694638991468	0.655798487858719	-0.280048154158215	-0.41231063194285	-0.147785676373581	0.158470925464155	0.127145474830421	0.189796376097889	0.0045538332821618	0.000255445627093613	-0.000916595058354238	0.00522093467464663	-0.00629355849299301	0.255257278852203
"543a"	166	"Victoria, BC"	"Canada"	"pacific"	48.42	-123.37	1909	2018	165.223289728189	1.756903440904	0.58475827121441	-0.234414680164561	-0.354788248433976	-0.114041111895145	0.147718632481767	0.120604975302837	0.174832289660697	0.00377195138988721	0.000191372715400791	-0.000697484364253623	0.00481013946859412	-0.00291754778181995	0.212796824667274
"274a"	447	"Churchill, MB"	"Canada"	"atlantic"	58.77	-94.18	1961	2018	188.528284044017	2.13523039889959	0.812373621399176	-0.0459876006326323	-0.236318546329169	0.144343345063904	0.161004691802929	0.117268521319163	0.204740862286694	0.00943023746462864	0.000497949528517753	-0.00158741086721972	0.00584594222833563	0.0122481949892733	0.360383997396838
"gesla_1246"	1349	"Lower Escuminac, NB"	"Canada"	"atlantic"	47.083	-64.883	1963	2015	172.873746889442	2.93446498400284	0.595190061637806	-0.182574503640893	-0.378371247736374	0.013222240454587	0.201410353579702	0.147672112404988	0.255148594754416	0.00997963710866069	0.00075174528723177	-0.00227589427854892	0.00803412726626378	0.000868213077548565	0.212320422748829
"gesla_0713"	195	"Saint John, NB"	"Canada"	"atlantic"	45.251	-66.063	1900	2015	168.165415492095	2.3726253217306	1.0262124663819	-0.12252907017576	-0.242599116597023	-0.00245902375449704	0.11437069377717	0.0938318968709862	0.134909490683354	0.00375295342746878	0.000109813015847255	-0.000487147014031866	0.00649589410466969	-0.0244254488037827	0.472164055533433
"gesla_0339"	1321	"Argentia, NF"	"Canada"	"atlantic"	47.3	-53.983	1971	2015	176.608527796843	2.38152024708305	0.574352068021329	-0.079489559236431	-0.264023203312199	0.105044084839337	0.107737486900904	0.0783913917912527	0.137083582010554	0.00886451407794324	0.000224183920323546	-0.00103778689093066	0.00652024708304736	-0.000122674600496964	0.231381304884796
"gesla_0655"	392	"Port-aux-Basques, NF"	"Canada"	"atlantic"	47.567	-59.133	1935	2015	174.122471731167	2.90850453893932	0.454678266273109	-0.152330964031614	-0.295307041367964	-0.00935488669526399	0.111452459940069	0.0876817719067629	0.135223147973374	0.00532145719755398	0.00014709141395264	-0.000689642521970066	0.00796305144131231	0.000443621690637978	0.172575997951041
"276a"	393	"St. John's-A, NF"	"Canada"	"atlantic"	47.57	-52.7	1935	2018	170.002219403932	2.54771718452758	0.502991293177277	-0.122296423872921	-0.256553239521464	0.0119603917756231	0.111784786750902	0.0882133466785795	0.135356226823225	0.00469219986193424	0.000144635882620945	-0.000608322537934356	0.00697526949904883	-0.00859341000793383	0.199470167683941
"275a"	96	"Halifax, NS"	"Canada"	"atlantic"	44.67	-63.58	1895	2014	177.138089428504	2.70587370649106	0.498904782608691	0.0114394231361322	-0.113165431024323	0.136044277296588	0.101123127966928	0.0833874813077104	0.118858774626146	0.00404178995664541	8.18837782995644e-05	-0.000404128032163029	0.00740827845719661	0.00613773768865807	0.188375834849227
"gesla_1171"	1299	"North Sydney, NS"	"Canada"	"atlantic"	46.217	-60.25	1970	2015	171.508096465853	2.43469374921394	0.438792144254962	-0.024441418760957	-0.207261047350264	0.15837820982835	0.118457240737202	0.0872032991828532	0.14971118229155	0.008700605201722	0.000254280706439055	-0.00105709075205969	0.00666582819771098	-0.00207214954455983	0.168055791059671
"gesla_1238"	1158	"Yarmouth, NS"	"Canada"	"atlantic"	43.833	-66.117	1900	2015	169.497369046911	2.41053273084012	0.693027717327025	0.0302380887220883	-0.159998285890532	0.220474463334708	0.0986003377341952	0.0723784209577787	0.124822254510612	0.00942086845518074	0.000178991615301259	-0.000900967918830759	0.00659967893453832	-0.00350118332105116	0.299174678282087
"gesla_0585"	427	"Charlottetown, PEI"	"Canada"	"atlantic"	46.233	-63.117	1911	2015	179.767935458532	2.91683576618446	0.558624874191229	0.0378300309073119	-0.0805250634722934	0.156185125286917	0.129962454176397	0.107557780611268	0.152367127741527	0.00364651269724509	0.000130671554997771	-0.000452927720585421	0.00798586109838319	0.00915416659156969	0.217194928983748
